id,학교명,학급 수,예측 교원 수
95,달서중학교,0.0,7.701
96,대구체육중학교,1.0,9.421
97,한울안중학교,1.0,9.421
98,구남중학교,1.0,9.421
99,가창중학교,2.0,11.141
100,신당중학교,2.0,11.141
101,경상여자중학교,2.0,11.141
102,논공중학교,2.0,11.141
103,서남중학교,2.0,11.141
104,대평중학교,2.0,11.141
105,경일중학교,2.0,11.141
106,경혜여자중학교,2.0,11.141
107,범일중학교,3.0,12.861
108,상인중학교,3.0,12.861
109,팔달중학교,3.0,12.861
110,수성중학교,3.0,12.861
111,입석중학교,3.0,12.861
112,현풍중학교,3.0,12.861
113,송현여자중학교,3.0,12.861
114,경암중학교,3.0,12.861
115,공산중학교,3.0,12.861
116,대구제일중학교,3.0,12.861
117,북동중학교,3.0,12.861
118,산격중학교,4.0,14.581
119,이곡중학교,4.0,14.581
120,신아중학교,4.0,14.581
121,대구북중학교,4.0,14.581
122,서대구중학교,4.0,14.581
123,천내중학교,4.0,14.581
124,경구중학교,4.0,14.581
125,성곡중학교,4.0,14.581
126,화원중학교,4.0,14.581
127,대명중학교,4.0,14.581
128,서변중학교,4.0,14.581
129,동촌중학교,4.0,14.581
130,관음중학교,5.0,16.301
131,대구중학교,5.0,16.301
132,불로중학교,5.0,16.301
133,대구중앙중학교,5.0,16.301
134,덕화중학교,5.0,16.301
135,새본리중학교,6.0,18.021
136,칠곡중학교,6.0,18.021
137,동변중학교,6.0,18.021
138,상서중학교,6.0,18.021
139,복현중학교,6.0,18.021
140,와룡중학교,6.0,18.021
141,지산중학교,6.0,18.021
142,대구팔공중학교,6.0,18.021
143,경운중학교,6.0,18.021
144,신기중학교,6.0,18.021
145,월배중학교,6.0,18.021
146,관천중학교,6.0,18.021
147,경상중학교,6.0,18.021
148,평리중학교,6.0,18.021
149,안심중학교,7.0,19.741
150,대서중학교,7.0,19.741
151,노변중학교,7.0,19.741
152,계성중학교,7.0,19.741
153,성명여자중학교,7.0,19.741
154,성산중학교,7.0,19.741
155,사수중학교,7.0,19.741
156,학산중학교,7.0,19.741
157,동원중학교,7.0,19.741
158,매호중학교,7.0,19.741
159,성당중학교,7.0,19.741
160,운암중학교,8.0,21.461
161,심인중학교,8.0,21.461
162,용산중학교,8.0,21.461
163,경서중학교,8.0,21.461
164,원화중학교,8.0,21.461
165,서재중학교,8.0,21.461
166,경일여자중학교,8.0,21.461
167,중리중학교,8.0,21.461
168,경북대학교사범대학부설중학교,9.0,23.181
169,다사중학교,9.0,23.181
170,협성경복중학교,9.0,23.181
171,구지중학교,9.0,23.181
172,청구중학교,9.0,23.181
173,범물중학교,9.0,23.181
174,달성중학교,9.0,23.181
175,대곡중학교,9.0,23.181
176,경명여자중학교,10.0,24.901
177,능인중학교,10.0,24.901
178,도원중학교,10.0,24.901
179,구암중학교,10.0,24.901
180,효성중학교,10.0,24.901
181,덕원중학교,10.0,24.901
182,영신중학교,10.0,24.901
183,매천중학교,10.0,24.901
184,대구동부중학교,11.0,26.621
185,서동중학교,11.0,26.621
186,성화중학교,11.0,26.621
187,성지중학교,11.0,26.621
188,고산중학교,11.0,26.621
189,율원중학교,11.0,26.621
190,대건중학교,11.0,26.621
191,상원중학교,12.0,28.341
192,성광중학교,12.0,28.341
193,대진중학교,12.0,28.341
194,성서중학교,12.0,28.341
195,침산중학교,12.0,28.341
196,학남중학교,12.0,28.341
197,황금중학교,12.0,28.341
198,포산중학교,13.0,30.061
199,영남중학교,13.0,30.061
200,신명여자중학교,13.0,30.061
201,유가중학교,13.0,30.061
202,새론중학교,13.0,30.061
203,시지중학교,14.0,31.781
204,대륜중학교,14.0,31.781
205,강동중학교,14.0,31.781
206,왕선중학교,15.0,33.501
207,오성중학교,15.0,33.501
208,대구일중학교,15.0,33.501
209,동평중학교,15.0,33.501
210,소선여자중학교,15.0,33.501
211,경신중학교,16.0,35.221
212,동도중학교,17.0,36.940999999999995
213,강북중학교,17.0,36.940999999999995
214,정화중학교,18.0,38.661
215,월서중학교,19.0,40.381
216,조암중학교,19.0,40.381
217,대구동중학교,19.0,40.381
218,월암중학교,12.0,28.341
