id,학교명,학급 수,예측 교원 수
219,경북대학교사범대학부설초등학교,8.0,17.171
220,계성초등학교,11.0,21.383
221,남대구초등학교,2.0,8.747
222,대구가창초등학교,2.0,8.747
223,대구감삼초등학교,3.0,10.151
224,대구감천초등학교,4.0,11.555
225,대구강동초등학교,17.0,29.807
226,대구강림초등학교,14.0,25.595
227,대구강북초등학교,12.0,22.787
228,대구경동초등학교,30.0,48.059
229,대구경운초등학교,8.0,17.171
230,대구경진초등학교,1.0,7.343
231,대구고산초등학교,12.0,22.787
232,대구공산초등학교,1.0,7.343
233,대구관남초등학교,5.0,12.959
234,대구관문초등학교,16.0,28.403
235,대구관음초등학교,3.0,10.151
236,대구관천초등학교,3.0,10.151
237,대구교동초등학교,3.0,10.151
238,대구교육대학교대구부설초등학교,6.0,14.363
239,대구구암초등학교,5.0,12.959
240,대구구지초등학교,8.0,17.171
241,대구국우초등학교,4.0,11.555
242,대구금계초등학교,2.0,8.747
243,대구금포초등학교,1.0,7.343
244,대구남덕초등학교,3.0,10.151
245,대구남도초등학교,8.0,17.171
246,대구남동초등학교,3.0,10.151
247,대구남명초등학교,2.0,8.747
248,대구남부초등학교,5.0,12.959
249,대구남산초등학교,19.0,32.614999999999995
250,대구남송초등학교,4.0,11.555
251,대구내당초등학교,6.0,14.363
252,대구내서초등학교,3.0,10.151
253,대구노변초등학교,11.0,21.383
254,대구노전초등학교,6.0,14.363
255,대구논공초등학교,3.0,10.151
256,대구다사초등학교,14.0,25.595
257,대구달산초등학교,15.0,26.999
258,대구달서초등학교,12.0,22.787
259,대구달성초등학교,5.0,12.959
260,대구대곡초등학교,7.0,15.767
261,대구대남초등학교,6.0,14.363
262,대구대덕초등학교,3.0,10.151
263,대구대명초등학교,9.0,18.575
264,대구대봉초등학교,7.0,15.767
265,대구대산초등학교,2.0,8.747
266,대구대서초등학교,8.0,17.171
267,대구대성초등학교,2.0,8.747
268,대구대실초등학교,20.0,34.019
269,대구대진초등학교,7.0,15.767
270,대구대천초등학교,5.0,12.959
271,대구대청초등학교,20.0,34.019
272,대구덕성초등학교,3.0,10.151
273,대구덕인초등학교,5.0,12.959
274,대구도남초등학교,9.0,18.575
275,대구도림초등학교,6.0,14.363
276,대구도원초등학교,6.0,14.363
277,대구동곡초등학교,0.0,5.939
278,대구동덕초등학교,4.0,11.555
279,대구동도초등학교,23.0,38.231
280,대구동문초등학교,2.0,8.747
281,대구동변초등학교,11.0,21.383
282,대구동부초등학교,3.0,10.151
283,대구동산초등학교,5.0,12.959
284,대구동성초등학교,15.0,26.999
285,대구동신초등학교,11.0,21.383
286,대구동원초등학교,7.0,15.767
287,대구동인초등학교,4.0,11.555
288,대구동일초등학교,9.0,18.575
289,대구동천초등학교,27.0,43.847
290,대구동촌초등학교,8.0,17.171
291,대구동평초등학교,14.0,25.595
292,대구동호초등학교,7.0,15.767
293,대구두류초등학교,2.0,8.747
294,대구두산초등학교,4.0,11.555
295,대구들안길초등학교,7.0,15.767
296,대구만촌초등학교,5.0,12.959
297,대구매곡초등학교,8.0,17.171
298,대구매동초등학교,5.0,12.959
299,대구매천초등학교,6.0,14.363
300,대구매호초등학교,9.0,18.575
301,대구명곡초등학교,3.0,10.151
302,대구명덕초등학교,5.0,12.959
303,대구문성초등학교,8.0,17.171
304,대구반송초등학교,1.0,7.343
305,대구반야월초등학교,12.0,22.787
306,대구방촌초등학교,5.0,12.959
307,대구범물초등학교,2.0,8.747
