예측유형,학교유형,학교명,SIG_KOR_NM,SIG_CD,년2023,년2024,년2025,년2026,년2027,년2028,년2029,년2030,년2031,년2032,년2033,년2034,년2035,년2036,년2037,년2038,년2039,년2040,년2041,년2042
CRU,초등학교,경북대학교사범대학부설초등학교,중구,27110,535,519,493,473,441,406,364,331,297,268,241,219,198,174,153,133,115,97,90,85
CRU,초등학교,계성초등학교,중구,27110,741,735,714,702,673,637,589,552,513,480,451,426,403,375,348,321,298,273,254,238
CRU,초등학교,남대구초등학교,남구,27200,112,96,77,60,42,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구가창초등학교,달성군,27710,171,172,170,170,166,160,150,144,136,130,124,120,115,109,104,98,93,87,81,76
CRU,초등학교,대구감삼초등학교,달서구,27290,181,151,116,81,44,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구감천초등학교,달서구,27290,250,195,137,81,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구강동초등학교,동구,27140,1019,974,916,865,796,720,635,564,494,434,379,331,286,239,196,156,121,88,82,76
CRU,초등학교,대구강림초등학교,달성군,27710,792,803,741,743,726,709,648,608,583,523,390,303,329,346,393,702,698,685,665,352
CRU,초등학교,대구강북초등학교,북구,27230,768,705,627,558,477,395,311,238,170,110,55,4,0,0,0,0,0,0,0,0
CRU,초등학교,대구경동초등학교,수성구,27260,1505,1491,1447,1421,1360,1285,1187,1111,1031,963,903,853,806,747,693,639,590,540,502,471
CRU,초등학교,대구경운초등학교,서구,27170,426,380,326,277,222,167,114,67,24,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구경진초등학교,북구,27230,73,53,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구고산초등학교,수성구,27260,858,813,783,701,633,514,426,321,257,184,152,113,107,92,100,96,106,100,93,87
CRU,초등학교,대구공산초등학교,동구,27140,105,105,104,104,102,98,92,88,83,79,76,73,71,67,63,60,57,53,49,46
CRU,초등학교,대구관남초등학교,북구,27230,294,247,196,147,96,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구관문초등학교,북구,27230,1113,1122,1108,1109,1081,1040,980,935,885,844,808,779,752,713,676,637,603,565,526,493
CRU,초등학교,대구관음초등학교,북구,27230,183,133,80,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구관천초등학교,북구,27230,112,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구교동초등학교,북구,27230,149,108,65,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구교육대학교대구부설초등학교,달서구,27290,458,464,460,461,450,434,410,391,371,354,339,327,316,299,284,268,254,238,221,207
CRU,초등학교,대구구암초등학교,북구,27230,258,191,120,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구구지초등학교,달성군,27710,561,551,530,515,487,455,425,384,351,323,298,276,256,232,211,190,171,152,134,119
CRU,초등학교,대구금계초등학교,달성군,27710,166,167,165,165,161,155,146,139,132,126,120,116,112,106,101,95,90,84,78,73
CRU,초등학교,대구금포초등학교,달성군,27710,90,91,90,90,87,84,79,76,72,68,65,63,61,58,55,52,49,46,43,40
CRU,초등학교,대구남덕초등학교,남구,27200,249,250,246,245,239,229,216,206,195,186,178,172,166,157,149,140,133,125,116,109
CRU,초등학교,대구남도초등학교,남구,27200,517,481,440,408,364,316,265,225,187,152,119,89,63,38,14,0,0,0,0,0
CRU,초등학교,대구남동초등학교,달성군,27710,129,71,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구남명초등학교,남구,27200,167,149,128,109,87,66,45,26,10,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구남부초등학교,달서구,27290,331,312,287,265,237,207,175,149,123,100,80,61,44,28,13,0,0,0,0,0
CRU,초등학교,대구남산초등학교,중구,27110,951,960,948,948,924,889,838,799,756,721,690,666,643,609,578,545,516,483,449,421
CRU,초등학교,대구남송초등학교,달서구,27290,248,209,165,124,80,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구내당초등학교,달서구,27290,191,164,133,105,75,45,17,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구내서초등학교,서구,27170,208,187,160,135,106,77,48,23,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구노변초등학교,수성구,27260,539,482,415,355,286,219,152,94,40,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구노전초등학교,달서구,27290,347,278,204,133,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구논공초등학교,달성군,27710,157,127,90,54,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구다사초등학교,달성군,27710,820,827,817,817,796,766,722,689,652,622,595,574,554,525,498,470,445,417,387,363
CRU,초등학교,대구달산초등학교,북구,27230,916,872,811,761,693,620,539,472,406,349,298,252,209,166,126,90,58,29,27,25
CRU,초등학교,대구달서초등학교,서구,27170,806,802,781,770,739,701,650,611,569,534,503,477,453,422,394,365,339,312,290,272
CRU,초등학교,대구달성초등학교,서구,27170,373,388,394,404,402,395,378,367,352,340,329,321,313,299,286,272,259,244,227,213
CRU,초등학교,대구대곡초등학교,달서구,27290,410,366,319,275,225,175,126,84,44,8,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구대남초등학교,달서구,27290,403,365,315,266,210,153,96,45,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구대덕초등학교,남구,27200,225,221,213,207,197,184,169,157,144,134,125,117,110,101,93,85,78,71,66,62
CRU,초등학교,대구대동초등학교,북구,27230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구대명초등학교,남구,27200,468,423,369,320,265,209,154,106,61,21,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구대봉초등학교,남구,27200,489,453,407,368,320,271,220,177,136,99,66,36,8,0,0,0,0,0,0,0
CRU,초등학교,대구대산초등학교,북구,27230,121,97,70,45,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구대서초등학교,달서구,27290,665,670,662,662,645,621,585,558,528,504,482,465,449,426,404,381,360,338,314,294
CRU,초등학교,대구대성초등학교,서구,27170,105,52,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구대실초등학교,달성군,27710,1263,1316,1341,1280,1237,1133,1012,870,883,823,769,724,682,630,582,535,492,449,405,368
CRU,초등학교,대구대진초등학교,달서구,27290,379,319,252,190,124,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구대천초등학교,북구,27230,328,284,235,190,140,92,47,6,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구대청초등학교,수성구,27260,1364,1376,1359,1359,1325,1276,1201,1146,1085,1035,990,955,922,874,829,781,740,693,645,604
CRU,초등학교,대구덕성초등학교,동구,27140,182,163,141,120,97,74,52,32,14,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구덕인초등학교,달서구,27290,358,342,318,299,273,244,213,187,162,140,120,102,85,69,53,39,27,15,14,13
CRU,초등학교,대구도남초등학교,북구,27230,381,351,313,280,241,200,159,124,91,61,34,10,0,0,0,0,0,0,0,0
CRU,초등학교,대구도림초등학교,달성군,27710,379,365,342,324,299,271,240,214,188,166,146,128,111,94,78,64,51,38,36,33
CRU,초등학교,대구도원초등학교,달서구,27290,357,303,239,178,111,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구동곡초등학교,달성군,27710,62,63,62,62,60,58,55,52,49,47,45,43,42,40,38,36,34,32,29,27
CRU,초등학교,대구동덕초등학교,중구,27110,264,267,265,265,259,249,235,224,212,202,194,187,180,171,162,153,145,136,126,118
CRU,초등학교,대구동도초등학교,수성구,27260,1465,1478,1459,1356,1271,1127,970,795,782,696,619,551,488,420,359,301,249,200,155,117
CRU,초등학교,대구동문초등학교,수성구,27260,156,137,116,97,75,54,34,16,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구동변초등학교,북구,27230,573,506,429,358,280,203,129,63,3,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구동부초등학교,동구,27140,77,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구동산초등학교,수성구,27260,329,290,246,205,160,115,73,35,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구동성초등학교,수성구,27260,912,866,801,746,674,598,515,445,378,319,265,218,174,130,91,56,24,0,21,0
CRU,초등학교,대구동신초등학교,동구,27140,749,755,746,746,727,700,660,629,595,568,544,524,506,480,455,429,406,381,354,332
CRU,초등학교,대구동원초등학교,수성구,27260,454,446,433,423,404,380,349,326,301,280,261,245,230,212,196,179,165,150,139,130
CRU,초등학교,대구동인초등학교,중구,27110,240,215,185,158,128,97,68,42,18,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구동일초등학교,수성구,27260,728,734,725,725,707,680,641,611,579,552,528,509,492,466,442,417,395,370,344,322
CRU,초등학교,대구동천초등학교,수성구,27260,1558,1566,1541,1433,1342,1190,1025,843,824,732,650,577,510,438,373,311,256,204,157,116
CRU,초등학교,대구동촌초등학교,동구,27140,548,551,544,543,528,508,478,455,430,409,391,377,363,344,326,307,290,271,252,236
CRU,초등학교,대구동평초등학교,북구,27230,879,812,728,654,566,475,382,303,228,161,100,45,0,0,0,0,0,0,0,0
CRU,초등학교,대구동호초등학교,동구,27140,515,501,480,469,447,423,392,370,346,327,311,298,286,270,255,240,227,212,197,185
CRU,초등학교,대구두류초등학교,서구,27170,53,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구두산초등학교,수성구,27260,349,346,337,333,320,304,283,267,250,236,224,214,204,192,181,169,159,147,137,128
CRU,초등학교,대구들안길초등학교,수성구,27260,369,356,338,326,307,286,261,242,222,207,193,181,171,158,147,136,126,116,108,101
CRU,초등학교,대구만촌초등학교,수성구,27260,228,214,208,194,155,108,69,48,33,16,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구매곡초등학교,달성군,27710,558,563,556,556,542,522,491,469,444,423,405,390,377,357,339,320,303,284,264,247
CRU,초등학교,대구매동초등학교,수성구,27260,336,297,252,211,165,120,77,38,3,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구매천초등학교,북구,27230,366,361,349,342,327,310,287,270,251,237,224,213,203,191,179,167,157,145,135,127
CRU,초등학교,대구매호초등학교,수성구,27260,455,378,293,214,130,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구명곡초등학교,달성군,27710,188,147,103,60,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구명덕초등학교,중구,27110,350,348,340,337,327,314,295,281,265,253,242,233,225,213,202,191,180,169,157,147
CRU,초등학교,대구문성초등학교,북구,27230,463,405,335,268,195,124,57,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구반송초등학교,달성군,27710,78,78,77,77,75,73,68,65,62,59,56,54,52,50,47,44,42,39,37,34
CRU,초등학교,대구반야월초등학교,동구,27140,768,743,702,671,624,572,511,461,412,369,330,297,265,232,201,171,145,120,112,105
CRU,초등학교,대구방촌초등학교,동구,27140,267,227,183,141,97,55,15,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구범물초등학교,수성구,27260,166,150,132,116,97,79,61,46,32,19,8,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구범어초등학교,수성구,27260,747,778,794,819,822,815,790,775,753,737,724,715,708,687,666,643,622,596,554,519
CRU,초등학교,대구범일초등학교,수성구,27260,726,687,632,587,527,464,396,339,283,235,191,152,115,79,47,17,0,0,0,0
CRU,초등학교,대구복명초등학교,수성구,27260,240,242,239,239,233,225,211,202,191,182,174,168,162,154,146,138,130,122,113,106
CRU,초등학교,대구복현초등학교,북구,27230,968,976,964,964,940,905,852,813,769,734,702,677,654,620,588,554,525,492,457,429
CRU,초등학교,대구본리초등학교,달서구,27290,1257,1271,1257,1259,1228,1183,1114,1064,1006,960,919,886,856,811,769,725,687,643,598,561
CRU,초등학교,대구봉덕초등학교,남구,27200,574,513,481,484,465,416,350,303,272,249,222,190,160,134,115,96,76,55,51,48
CRU,초등학교,대구봉무초등학교,동구,27140,1125,1134,1120,1121,1092,1051,990,945,894,853,816,787,760,720,683,644,610,571,531,498
CRU,초등학교,대구북동초등학교,달성군,27710,207,161,112,64,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구북부초등학교,북구,27230,220,169,115,63,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구북비산초등학교,서구,27170,127,92,53,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구불로초등학교,동구,27140,281,266,246,230,209,187,162,142,123,106,91,78,65,53,42,32,23,15,14,13
CRU,초등학교,대구비봉초등학교,서구,27170,78,56,33,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구비산초등학교,서구,27170,298,257,209,161,111,62,16,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구비슬초등학교,달성군,27710,1592,1677,1726,1694,1669,1576,1456,1318,1334,1276,1226,1185,1149,1092,1039,983,934,878,818,769
CRU,초등학교,대구사수초등학교,북구,27230,1079,1120,1137,1065,1018,913,796,656,676,619,568,523,482,436,392,351,313,276,241,211
CRU,초등학교,대구사월초등학교,수성구,27260,1287,1298,1282,1282,1250,1203,1133,1081,1023,976,934,900,869,824,781,737,698,654,608,570
CRU,초등학교,대구산격초등학교,북구,27230,317,276,229,185,138,92,48,9,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구삼덕초등학교,중구,27110,471,475,469,469,457,440,415,396,374,357,342,330,318,302,286,270,255,239,223,209
CRU,초등학교,대구삼영초등학교,북구,27230,482,459,442,445,442,432,409,390,367,349,333,322,311,295,280,264,250,234,218,204
CRU,초등학교,대구삼육초등학교,수성구,27260,233,235,232,232,226,218,205,196,185,177,169,163,157,149,141,133,126,118,110,103
CRU,초등학교,대구상원초등학교,달서구,27290,302,289,270,255,233,210,185,163,142,124,108,93,79,65,53,41,30,21,19,18
CRU,초등학교,대구상인초등학교,달서구,27290,511,521,520,525,516,501,476,457,435,418,402,390,379,361,344,325,309,291,271,254
CRU,초등학교,대구새론초등학교,동구,27140,1381,1444,1477,1425,1388,1287,1166,1025,1041,983,930,887,847,794,744,694,649,601,552,511
CRU,초등학교,대구서도초등학교,서구,27170,234,185,132,81,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구서동초등학교,달성군,27710,869,883,865,879,870,850,812,787,763,730,708,692,676,649,623,595,570,541,509,482
CRU,초등학교,대구서변초등학교,북구,27230,425,396,360,329,290,250,207,171,137,107,79,54,31,9,0,0,0,0,0,0
CRU,초등학교,대구서부초등학교,서구,27170,240,187,128,69,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구서재초등학교,달성군,27710,798,805,795,795,775,746,703,671,634,605,579,558,539,511,485,457,433,406,377,353
CRU,초등학교,대구서촌초등학교,동구,27140,65,66,65,65,63,61,57,55,52,49,47,46,44,42,40,37,35,33,31,29
CRU,초등학교,대구서평초등학교,서구,27170,43,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구선원초등학교,달서구,27290,239,195,145,98,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구성곡초등학교,달서구,27290,327,275,211,146,77,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구성남초등학교,달서구,27290,284,247,202,160,113,67,23,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구성당초등학교,달서구,27290,1163,1149,1111,1088,1038,977,908,838,774,719,671,629,591,545,502,459,421,382,344,312
CRU,초등학교,대구성동초등학교,수성구,27260,1691,1705,1684,1684,1642,1580,1488,1420,1344,1282,1227,1183,1142,1083,1027,968,917,859,799,748
CRU,초등학교,대구성명초등학교,남구,27200,228,192,150,109,65,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구성북초등학교,북구,27230,355,324,278,240,195,151,108,70,35,3,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구성산초등학교,달서구,27290,455,447,430,419,398,373,343,319,294,273,255,239,225,208,192,176,163,148,138,129
CRU,초등학교,대구성서초등학교,달서구,27290,298,291,277,268,252,234,213,196,179,164,151,140,130,119,108,98,89,80,74,69
CRU,초등학교,대구성지초등학교,달서구,27290,317,267,219,180,139,97,54,14,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구세천초등학교,달성군,27710,1514,1645,1754,1887,1962,2001,1986,1990,1975,1973,1975,1988,2000,1971,1940,1896,1859,1802,1675,1570
CRU,초등학교,대구세현초등학교,달성군,27710,1354,1620,1833,2052,2198,2295,2319,2355,2354,2358,2359,2366,2370,2322,2269,2200,2137,2051,1907,1787
CRU,초등학교,대구송일초등학교,달서구,27290,469,431,385,343,294,244,193,149,108,71,38,8,0,0,0,0,0,0,0,0
CRU,초등학교,대구송정초등학교,동구,27140,926,945,941,946,926,894,843,806,763,728,697,672,650,616,584,551,521,489,454,426
CRU,초등학교,대구송현초등학교,달서구,27290,323,295,258,222,180,137,93,55,19,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구수성초등학교,수성구,27260,544,495,437,384,323,262,200,147,97,53,12,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구수창초등학교,중구,27110,341,366,379,393,394,389,373,362,346,334,322,313,304,290,276,261,248,233,216,203
CRU,초등학교,대구숙천초등학교,동구,27140,737,800,846,903,935,953,948,952,946,945,946,951,957,943,929,909,891,864,803,752
CRU,초등학교,대구시지초등학교,수성구,27260,255,210,160,110,58,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구신당초등학교,달서구,27290,122,110,96,84,71,58,45,34,24,15,7,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구신매초등학교,수성구,27260,564,537,498,467,424,379,329,287,247,211,179,150,124,97,73,51,31,13,12,11
CRU,초등학교,대구신서초등학교,달서구,27290,208,196,180,168,152,136,119,105,91,80,70,61,53,45,38,31,26,20,19,18
CRU,초등학교,대구신성초등학교,동구,27140,377,380,375,375,366,352,332,317,300,286,273,264,255,241,229,216,204,191,178,167
CRU,초등학교,대구신암초등학교,북구,27230,761,763,751,750,731,703,662,632,597,570,545,526,508,481,456,430,407,382,355,333
CRU,초등학교,대구신월초등학교,달서구,27290,1378,1390,1372,1373,1338,1288,1213,1158,1095,1045,1000,964,931,882,837,789,747,700,651,610
CRU,초등학교,대구신천초등학교,동구,27140,863,871,860,860,838,807,760,725,686,655,627,604,583,553,524,495,468,439,408,382
CRU,초등학교,대구신흥초등학교,달서구,27290,377,349,313,281,243,204,164,130,98,69,43,19,0,0,0,0,0,0,0,0
CRU,초등학교,대구아양초등학교,동구,27140,207,163,113,65,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구안일초등학교,동구,27140,650,663,661,665,651,629,594,568,538,513,492,474,458,435,412,389,368,345,321,301
CRU,초등학교,대구연경초등학교,북구,27230,537,542,535,535,522,502,473,451,427,407,390,376,363,344,326,308,291,273,254,238
CRU,초등학교,대구영선초등학교,남구,27200,250,202,149,99,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구옥산초등학교,북구,27230,803,827,834,852,847,831,798,776,748,727,708,695,683,658,635,609,585,557,518,486
CRU,초등학교,대구옥포초등학교,달성군,27710,301,304,300,300,293,282,265,253,239,228,219,211,204,193,183,173,163,153,142,133
CRU,초등학교,대구와룡초등학교,달서구,27290,450,393,324,258,185,113,44,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구왕선초등학교,달성군,27710,825,850,857,875,870,854,820,797,769,746,727,714,701,676,652,625,601,572,532,499
CRU,초등학교,대구용계초등학교,달성군,27710,357,326,289,255,216,177,137,103,70,42,15,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구용산초등학교,달서구,27290,426,385,334,287,233,179,126,79,37,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구용전초등학교,달서구,27290,341,286,226,170,110,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구용지초등학교,수성구,27260,699,641,568,504,429,353,276,209,147,91,40,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구용천초등학교,달서구,27290,1275,1204,1185,1182,1149,1103,999,942,878,824,776,735,698,651,606,561,522,480,438,403
CRU,초등학교,대구용호초등학교,동구,27140,402,350,287,226,158,91,26,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구욱수초등학교,수성구,27260,607,571,524,483,432,378,320,271,224,183,146,112,81,50,23,0,0,0,0,0
CRU,초등학교,대구운암초등학교,북구,27230,539,485,420,362,296,230,165,108,55,8,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구월곡초등학교,달서구,27290,93,61,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRU,초등학교,대구월배초등학교,달서구,27290,448,419,382,351,311,269,226,188,153,122,93,68,44,21,1,0,0,0,0,0
CRU,초등학교,대구월서초등학교,달서구,27290,1062,998,913,840,748,652,550,464,381,308,242,182,126,73,25,0,0,0,0,0
CRU,초등학교,대구월성초등학교,달서구,27290,184,167,147,129,108,87,66,48,31,16,2,0,0,0,0,0,0,0,0,0
