A.PROJ_NO,A.BLK_NO,A.LTH,A.BTH,A.HGT,A.NET_WGT,WKA_CD,DTL_ARNO_CD,IN_OUT_AREA,A.IA_NOW_P_STG,A.IA_NOW_FNDT,LOGI_CHK_DESC,LOGI_CHK_DT,LOGI_UPLOAD_DT,후공정 대기 기간,AF_CODE_DESC,IA_AF_STDT,IA_AF_WKA_NM,IA_AF_WK_CENT_DSC,EXP_PRE_OUTFIT_STDT,A.IA_AF_STDT
 SN2405, D640S,8.5,13,2.1,18, BNG9,1, 사외,,,,,,,,,,,,
 SN2445, S41GS,32,13.5,6.3,0, HNA,6, 사내, 올리기(BLOCK LIFT UP),20230828,,,,,,,,,,
 SN2448, A21GC,17,36.5,8,0, HNA,7, 사내, PE(PRE-ERECTION),20231117,,,, -164일, 올리기(BLOCK LIFT UP),20230912,,,,
 SN2452, B23VC,54.2,51,37.2,0, 2P3,21, 사내, PE(PRE-ERECTION),20240226,,,, 0일, 탑재(ERECTION),20240223, G4, 건조1부건조3과,,
 SN2452, D19GC,15.7,38.3,4.8,0, HNA,1, 사내, 올리기(BLOCK LIFT UP),20240103,,,,,,,,,,
 SN2452, E66GC,27,20.2,5.2,0, HNA,3, 사내, PE(PRE-ERECTION),20240223,,,, 0일, 탑재(ERECTION),20240223, G4, 건조1부건조3과,,
 SN2452, T20GC,31.4,44.3,3.4,0, HNA,2, 사내, PE(PRE-ERECTION),20231219,,,, -66일, 올리기(BLOCK LIFT UP),20231219,,,,
 SN2452, 18.2*23.7*5.4,10,10,4,, HNA,3, 사내,,,,,,,,,,,,
 SN2453, M11UC,12.2,51,34.2,0, SGB,1, 사내, INSULATION,20240131,,,, 17일, 탑재(ERECTION),20240311, G2, 건조1부건조2과,,
 SN2453, Y900C,12.2,8.2,2.8,64, GA,11, 사내, 도장(Paint),20240216, 도장,20240219,20240219, 0일, 탑재(ERECTION),20240223, G2, 건조1부건조2과,,
 SN2454, B200C,17.6,16.4,2.3,62, 3Q,4, 사내, 도장(Paint),20240222,,,, 6일, 올리기(BLOCK LIFT UP),20240229,,,,
 SN2454, B210C,17,16.4,2.3,25, PT7,11, 사내, 도장(Paint),20240221,,,, 5일, 올리기(BLOCK LIFT UP),20240228,,,,
 SN2454, B220C,16.8,11.4,2.5,29, PT7,12, 사내, 도장(Paint),20240227,,,, 5일, 올리기(BLOCK LIFT UP),20240228,,,,
 SN2454, B23GC,16.2,31,12.7,0, 8QB,6, 사내, PE(PRE-ERECTION),20240208,,,, -15일, 올리기(BLOCK LIFT UP),20240208,,,,
 SN2454, C820P,1.4,19.3,1.8,9, BNG8,1, 사외, 올리기(BLOCK LIFT UP),20240220, 도장,20240130,20240130,,,,,,,
 SN2454, C820S,1.4,18.5,1.8,8, BNG8,1, 사외, 올리기(BLOCK LIFT UP),20240220, 도장,20240130,20240130,,,,,,,
 SN2454, F30GC,7.9,9,18.2,0, 3H,7, 사내, 도장(Paint),20240227,,,, 5일, 올리기(BLOCK LIFT UP),20240228,,,,
 SN2454, F31GC,30.5,26.5,7.9,0, 8QB,11, 사내, PE(PRE-ERECTION),20240220,,,, -3일, 올리기(BLOCK LIFT UP),20240220,,,,
 SN2454, F510P,16.4,21,8,41, HZ06,2, 사내, 중국납품운송(IN),20240119,,,, -1일, 올리기(BLOCK LIFT UP),20240222,,,,
 SN2454, F510S,16.4,21,8,41, HZ06,2, 사내, 중국납품운송(IN),20240119,,,, -1일, 올리기(BLOCK LIFT UP),20240222,,,,
 SN2454, F52GC,15.8,29.3,5.3,0, 8QB,3, 사내, PE(PRE-ERECTION),20240223,,,, 0일, 올리기(BLOCK LIFT UP),20240223,,,,
 SN2454, F62GP,13.4,26,13.7,0, 8QB,2, 사내, PE(PRE-ERECTION),20240306,,,, 13일, 올리기(BLOCK LIFT UP),20240307,,,,
 SN2454, F62GS,13.4,26,13.7,0, 8QC,1, 사내, PE(PRE-ERECTION),20240306,,,, 13일, 올리기(BLOCK LIFT UP),20240307,,,,
 SN2454, F63GC,9.7,38.1,10.7,0, 8QC,10, 사내, PE(PRE-ERECTION),20240308,,,, 14일, 올리기(BLOCK LIFT UP),20240308,,,,
 SN2454, F710P,15.1,10.9,2.6,20, BNG9,1, 사외, 중국납품운송(IN),20240119,,,, 0일, TURN OVER,20240223,,,,
 SN2454, F710S,15.1,10.9,2.6,20, BNG9,1, 사외, 중국납품운송(IN),20240119,,,, 0일, TURN OVER,20240223,,,,
 SN2454, F72PS,13.4,26,9.2,0, PS3,10, 사내, TURN OVER,20240220,,,, -24일, PE(PRE-ERECTION),20240130, 8Q, 건조1부건조1과,,
 SN2454, F81GP,15.1,8.4,5.5,0, 3H,3, 사내, 도장(Paint),20240304,,,, 11일, 올리기(BLOCK LIFT UP),20240305,,,,
 SN2454, F81GS,15.1,8.4,5.5,0, HB,8, 사내, 도장(Paint),20240220,,,, 5일, 올리기(BLOCK LIFT UP),20240228,,,,
 SN2454, H200P,18.1,13.7,5.6,66, HA,8, 사내, 도장(Paint),20240226,,,, 6일, 올리기(BLOCK LIFT UP),20240229,,,,
 SN2454, H200S,18.1,13.7,5.6,66, 3K,9, 사내, 도장(Paint),20240229,,,, 6일, 올리기(BLOCK LIFT UP),20240229,,,,
 SN2454, H210P,18.3,15,7.5,44, PT1B,2, 사내, 도장(Paint),20240227,,,, 6일, 올리기(BLOCK LIFT UP),20240229,,,,
 SN2454, H210S,18.3,15,7.5,44, 3R51,5, 사내, 도장(Paint),20240304,,,, 12일, 올리기(BLOCK LIFT UP),20240306,,,,
 SN2454, H220P,16.8,11,4.6,26, PT1A,2, 사내, 도장(Paint),20240228,,,, 6일, TURN OVER,20240229,,,,
 SN2454, H220S,16.8,12.3,4.6,27, 3R42,7, 사내, 도장(Paint),20240304,,,, 12일, TURN OVER,20240306,,,,
 SN2454, M11UC,12.2,51,34.2,0, SGB,1, 사내, 도장(Paint),20240229,,,, -8일, INSULATION,20240215, SGB,,,
 SN2454, S200P,19.7,12.2,9.1,30, PB03,1, 사내, 중국납품운송(IN),20240208,,,, -2일, 도장(Paint),20240221, H, 선행도장부선행도장2과,,
 SN2454, S200S,19.7,12.2,9.1,30, 3R38,1, 사내, 중국납품운송(IN),20240208,,,, -1일, 도장(Paint),20240222, SKP, 건화공업(성포),,
 SN2454, S210P,18.5,14.8,8.4,32, PT1B,6, 사내, 도장(Paint),20240305,,,, 12일, 올리기(BLOCK LIFT UP),20240306,,,,
 SN2454, S210S,18.5,14.8,8.4,32, 3R35,1, 사내, 도장(Paint),20240306,,,, 14일, 올리기(BLOCK LIFT UP),20240308,,,,
 SN2454, S220P,21.3,15.7,7.8,28, GA,9, 사내, 중국납품운송(IN),20240206,,,, 0일, 도장(Paint),20240223, H, 선행도장부선행도장2과,,
 SN2454, S220S,21.3,15.7,7.8,28, 3R38,2, 사내, 중국납품운송(IN),20240214,,,, -1일, 도장(Paint),20240222, 3K, 선행도장부선행도장1과,,
 SN2454, S400P,17.6,19.2,5.2,76, PT7,1, 사내, 도장(Paint),20240305, 선행의장,20240207,20240207, 14일, 올리기(BLOCK LIFT UP),20240308,,,,
 SN2454, S400S,17.6,19.2,5.2,76, HSG2,1, 사외, 내업의장,20240208, 선행의장,20240207,20240207, -1일, 도장(Paint),20240222, 3K, 선행도장부선행도장1과,,
 SN2454, S410P,17,18.5,5.2,58, DA,2, 사내, 내업의장,20240208, 선행의장,20240208,20240214, -1일, 도장(Paint),20240222, H, 선행도장부선행도장2과,,
 SN2454, S410S,17,18.5,5.2,58, 5K,9, 사내, 도장(Paint),20240306, 선행의장,20240208,20240214, 14일, 올리기(BLOCK LIFT UP),20240308,,,,
 SN2454, S420P,18.1,14,8.2,30, KA,2, 사내, 중국납품운송(IN),20240208,,,, 3일, 도장(Paint),20240226, H, 선행도장부선행도장2과,,
 SN2454, S420S,18.1,14,8.2,30, 3L,1, 사내, 중국납품운송(IN),20240208,,,, -1일, 도장(Paint),20240222, SKP, 건화공업(성포),,
 SN2454, S430P,18.3,18.8,8,35, RD38,3, 사내, 도장(Paint),20240227,,,, 11일, 올리기(BLOCK LIFT UP),20240305,,,,
 SN2454, S430S,18.3,18.8,8,35, 3P,5, 사내, 중국납품운송(IN),20240202,,,, -2일, 도장(Paint),20240221, 3K, 선행도장부선행도장1과,,
 SN2454, S620P,17.1,13.3,5.4,30, HB,3, 사내, 내업의장,20240201,,,, -29일, 도장(Paint),20240226, H, 선행도장부선행도장2과,20240125,
 SN2454, S620S,17.1,13.3,5.4,30, 3K,3, 사내, 도장(Paint),20240229,,,, 14일, 올리기(BLOCK LIFT UP),20240308,,,,
 SN2454, S630P,17.4,10.6,7.9,19, OB,16, 사내, 중국납품운송(IN),20240206,,,, 3일, 도장(Paint),20240226, H, 선행도장부선행도장2과,,
 SN2454, S630S,17.4,10.6,7.9,19, 3P,4, 사내, TURN OVER,20240207,,,, -2일, 도장(Paint),20240221, 3K, 선행도장부선행도장1과,,
 SN2454, S830P,16.2,8,5.8,21, KA,3, 사내, 중국납품운송(IN),20240202,,,, 4일, 도장(Paint),20240227, H, 선행도장부선행도장2과,,
 SN2454, S830S,16.2,8,5.8,21, HZ05,13, 사내, 중국납품운송(IN),20240202,,,, -1일, 도장(Paint),20240222, SKP, 건화공업(성포),,
 SN2454, T23GC,31.4,44.7,3.1,0, 2A7,22, 사내, PE(PRE-ERECTION),20240226,,,, 13일, 올리기(BLOCK LIFT UP),20240307,,,,
 SN2454, W820P,5.4,18.9,2.3,18, 2B9,1, 사내, 도장(Paint),20240226, 선행의장,20240110,20240110, 3일, 올리기(BLOCK LIFT UP),20240226,,,,
 SN2454, W820S,5.4,18.9,2.3,18, 2B9,1, 사내, 도장(Paint),20240226, 선행의장,20240110,20240110, 3일, 올리기(BLOCK LIFT UP),20240226,,,,
 SN2454, W830C,5.2,14.1,2.8,12, BNG9,1, 사외, 내업의장,20240206, 선행의장,20240205,20240205, 3일, 도장(Paint),20240226, 3K, 선행도장부선행도장1과,,
